exp,gt_idx,type,algo,eps_s,pred_dh,true_dh,abs_err,accepted,reject_reason,n_ride_samples
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,trapezoid,1.0,-6.24975958143946,-6.0,0.2497595814394602,True,,808
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,zupt,1.25,-6.478442893958756,-6.0,0.47844289395875617,True,,832
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,trapezoid,1.25,-6.484068856122459,-6.0,0.48406885612245887,True,,832
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,zupt,1.5,-6.10112920881027,-6.0,0.10112920881026977,True,,858
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,trapezoid,1.5,-6.415262467131496,-6.0,0.4152624671314964,True,,858
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,zupt,2.0,-6.633540962744594,-6.0,0.6335409627445943,True,,908
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,trapezoid,2.0,-6.433371042281549,-6.0,0.4333710422815491,True,,908
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,zupt,2.5,-7.107176991234449,-6.0,1.1071769912344491,True,,958
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,trapezoid,2.5,-6.629027140771232,-6.0,0.6290271407712318,True,,958
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,zupt,3.0,-7.021115606702313,-6.0,1.0211156067023133,True,,1008
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,9,down,trapezoid,3.0,-6.608557266041845,-6.0,0.6085572660418448,True,,1008
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,zupt,0.0,-5.912380226642083,-6.0,0.08761977335791737,True,,695
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,trapezoid,0.0,-5.837236562200999,-6.0,0.1627634377990006,True,,695
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,zupt,0.25,-5.904521344888119,-6.0,0.09547865511188114,True,,720
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,trapezoid,0.25,-5.877441345247547,-6.0,0.12255865475245287,True,,720
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,zupt,0.5,-5.938343758507789,-6.0,0.06165624149221127,True,,745
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,trapezoid,0.5,-5.833400136868302,-6.0,0.16659986313169828,True,,745
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,zupt,0.75,-5.908004118171242,-6.0,0.09199588182875829,True,,770
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,trapezoid,0.75,-5.849099594066531,-6.0,0.1509004059334691,True,,770
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,zupt,1.0,-5.936163447680077,-6.0,0.06383655231992336,True,,795
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,trapezoid,1.0,-5.826548379093255,-6.0,0.1734516209067447,True,,795
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,zupt,1.25,-5.912533908498474,-6.0,0.0874660915015264,True,,820
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,trapezoid,1.25,-5.797885207241663,-6.0,0.2021147927583371,True,,820
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,zupt,1.5,-5.914440217683317,-6.0,0.08555978231668337,True,,844
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,trapezoid,1.5,-5.793536864605117,-6.0,0.20646313539488315,True,,844
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,zupt,2.0,-5.87884630745365,-6.0,0.12115369254634967,True,,894
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,trapezoid,2.0,-5.8174491055590405,-6.0,0.1825508944409595,True,,894
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,zupt,2.5,-5.432057820139606,-6.0,0.5679421798603936,True,,944
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,trapezoid,2.5,-5.764443703046485,-6.0,0.235556296953515,True,,944
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,zupt,3.0,-5.142879281668134,-6.0,0.8571207183318661,True,,995
RoyTurgeman_Haari3_SamsungGalaxyZFlip6_10-4-2026,11,down,trapezoid,3.0,-5.887648937761892,-6.0,0.11235106223810831,True,,995
