exp,gt_idx,status,type,t_start_s,t_end_s,pred_idxs,pos_r2,pos_A,neg_r2,neg_A,pair_joint_r2,pair_A_abs,pair_heatmap_energy,pair_gap_s,pair_W,pair_frac_flat,pair_reject_flags
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,14,clean,up,1054.762,1065.245,14,0.9518907510324488,0.6453590115540376,0.9591619401922807,-0.6815216587779107,0.9533968381128799,0.6540131859062908,0.558646122811636,2.8040000000000873,0.4862068965517241,0.8,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,15,missed,down,1329.211,1340.369,,0.9488292512498824,0.6414593624809531,0.9628297261082971,-0.6655490526335769,0.9555045424602924,0.653504207557265,0.6418465518897496,3.3619999999998527,0.3931034482758621,0.8,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,16,clean,down,1349.319,1362.947,16,0.9618273393177513,0.47477622665715097,0.9600740048241784,-0.45792909226034956,0.9606368560845572,0.4663526594587502,0.6641728588098244,3.5730000000000928,0.3931034482758621,0.8,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,17,clean,down,1369.826,1386.877,17,0.9577762165769714,0.4131107680382553,0.9623152113102157,-0.4143408311513952,0.9600435923526766,0.41372579959482525,0.49409954916623866,7.643999999999778,0.3931034482758621,0.8,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,18,clean,down,1393.717,1413.117,18,0.868596921787377,1.2638861153504617,0.5235071940726922,-0.7550137103836927,,,,,,,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,19,missed,up,1421.111,1434.379,,0.9579785704186163,0.5671951157862202,0.9388545210356731,-1.2565447041588491,,,,,,,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,20,clean,up,1441.656,1454.885,19,0.9619176175992992,0.6060272272050468,0.9589922711007698,-0.6200316222845161,0.9603295816986698,0.6130294247447814,0.4945860365902847,1.6130000000000564,0.3931034482758621,0.8,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,21,clean,up,1462.002,1473.319,20,0.9502936511846187,0.6448300882074746,0.960877208639979,-0.701894261997779,0.9532835510528644,0.659976050936942,0.5560193470496555,2.7469999999998436,0.4862068965517241,0.8,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,22,clean,up,1480.716,1499.478,21,0.9568619583413968,0.4191939592309337,0.9590687413015138,-0.4093582340514818,0.9549863864805277,0.40792690867906345,0.48357350645140595,9.277999999999793,0.4862068965517241,0.8,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,23,clean,up,1507.115,1520.304,22,0.9615890766171385,0.6098014930883718,0.9607846060165832,-0.6166453673567951,0.9596126676054533,0.6048672815098312,0.5266137120234357,1.7480000000000473,0.4862068965517241,0.8,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,24,clean,up,1528.776,1539.854,23,0.9508588466989798,0.6239020682601264,0.9614478548949625,-0.6620669203595257,0.955046789141625,0.6299577306553321,0.5484253422070294,2.824000000000069,0.4862068965517241,0.8,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,25,clean,down,1548.884,1569.201,24,0.9517705981366602,0.4002797571443302,0.9578311498070683,-0.41523733546267216,0.9527045889016503,0.40956095404806997,0.5382778840950257,11.409000000000106,0.3931034482758621,0.8,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,26,clean,down,1578.071,1600.856,25,0.9559932871918774,0.4092486182386917,0.6721622451055891,-0.49479198033228733,,,,,,,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,27,clean,up,1608.173,1641.588,26,0.9615302617269249,0.4148708627319374,0.9572717965221034,-0.4183087069523736,0.9593846938871541,0.41658978484215553,0.48736312682107386,26.774999999999864,0.3931034482758621,0.8,
eyalyakir_beitYitzchakiRaanana_SamsungSM-S911B_15-04-2026_exp6,28,clean,down,1651.095,1684.868,27,0.6812229544539127,1.9252209754730054,0.7291406510471559,-2.095246018583444,0.703917482383205,2.0102334970282247,0.04275254822832113,0.8070000000000164,0.3,0.0,joint R²=0.70 < 0.90;heatmap energy=0.043 < 0.400
