exp,kind,pred_idx,type,duration_s,status,matched_gt_idx,matched_gt_dh,pred_dh,pred_ci,pred_accepted,baro_dh
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,8,down,6.384999999999991,clean,26,6.0,1.3440765996381296,0.881313335863296,False,4.6786517011373405
UriyaCohenEliya_BarIlan2Herzelia_Pixel10_24-3-2026,train,9,up,6.683482758620812,clean,36,-3.0,-2.6921717426901264,0.7555687478398343,True,-2.4271465903530043
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,0,up,17.552103448275943,clean,0,27.0788,26.64322440645463,2.3111370928409216,True,27.22852846384032
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,1,down,11.695103448275859,clean,1,-15.639999999999995,-15.181701133806753,1.3605863446319837,True,-15.495491056206447
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,2,down,6.102482758620681,clean,2,-3.7073,-3.553856225853882,0.7555687478398343,True,-3.6019413305667456
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,3,up,11.575103448275968,clean,3,15.1485,14.88635246276302,1.3507150175708826,True,15.912457985914429
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,4,up,9.695310344827476,clean,4,11.172,11.185514194829814,1.050614966828954,True,11.969374770396826
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,5,down,13.681103448275849,clean,5,-15.639999999999995,-18.99553769772196,1.6745024528322683,True,-19.66451954462225
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,6,down,7.090689655172355,clean,6,-7.82,-7.362759839513204,0.9108021024347285,True,-7.411295300591178
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,7,down,7.150689655172414,clean,7,-7.82,-7.5407542783919475,0.9266060358255919,True,-7.564934299897871
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,8,up,19.0584827586207,clean,8,25.78,31.036855851179975,3.06968082196797,True,32.001039895219236
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,9,down,19.518103448275724,clean,9,-31.28,-30.36258027538506,2.710736397952499,True,-30.862381941385777
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,10,up,15.526103448275762,clean,10,23.5313,22.688545816624778,2.0094532209380964,True,24.185516231778948
UriyaCohenEliya_acroBuilding_GooglePixel10_15-04-2026_exp4,train,11,down,15.586103448275708,clean,11,-22.5398,-22.791453626502687,2.002233592092696,True,-23.527117923467102
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,0,down,20.952,fp,-1,,10.274286923124434,16.12285378627991,False,0.1245504247007716
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,1,up,17.589103448275978,clean,0,27.0788,26.79111574597511,2.348295815466628,True,27.77390519310339
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,2,down,11.598103448275879,clean,1,-15.639999999999995,-15.13860330610316,1.3647536245069587,True,-15.428874634938452
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,3,down,6.1034827586206575,clean,2,-3.7073,-3.5886698238808505,0.7555687478398343,True,-3.690228464773611
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,4,up,11.635103448276027,clean,3,15.1485,15.207818614335958,1.3676837035695457,True,15.741355228347132
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,5,up,9.74931034482745,clean,4,11.172,11.205873684772788,1.03296292000913,True,11.621426213624034
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,6,down,13.632103448275984,clean,5,-15.639999999999995,-19.10988030765617,1.6939543103729637,True,-19.617078786831783
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,7,down,7.080689655172364,clean,6,-7.82,-7.51792500449204,0.891849721353413,True,-7.388210919837832
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,8,down,7.155689655172409,clean,7,-7.82,-7.572249766459257,0.907558083340739,True,-7.730647887780776
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,9,up,19.06448275862067,clean,8,25.78,31.19158670168087,3.0853254314592333,True,31.92500611027198
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,10,down,18.620655172413535,clean,9,-31.28,-27.80946208202,2.728451605639027,True,-31.6822691513605
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,11,up,15.535103448275777,clean,10,23.5313,22.793011347791406,2.0091104119388237,True,23.951026249973978
UriyaCohenEliya_acroBuilding_SamsungSM-A235F_15-04-2026_exp4,train,12,down,15.5341034482758,clean,11,-22.5398,-22.947045565796373,2.001066693250202,True,-23.539046354943167
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,0,up,20.35910344827596,clean,0,41.73,40.871144455424876,3.5893253551708417,True,41.25944080948352
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,1,down,20.339103448275864,clean,1,-38.5,-40.703249551388595,3.574136260936306,True,-41.42005488800183
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,2,up,11.13310344827596,clean,2,19.25,17.889027510476172,1.6596015823763035,True,17.92847191877395
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,3,up,5.856275862068969,clean,3,3.8500000000000014,3.937774823020194,0.8003019565154703,True,4.278405175590365
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,4,down,5.836275862068874,clean,4,-3.8500000000000014,-3.95400005684278,0.8040537114424473,True,-4.022316229150306
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,5,down,12.560482758620651,clean,5,-18.1045,-17.57477735951789,1.769379310281853,True,-17.70366188078846
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,6,up,6.895896551724263,clean,6,6.4894,6.429446632529668,1.0954150098495747,False,6.200933601906797
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,7,up,9.376689655172527,clean,7,11.55,11.469840671510315,1.1342391676368166,True,11.277595241341615
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,8,up,7.397896551724102,clean,8,7.699999999999996,7.64473555895006,0.7881198040774297,True,7.776712008015792
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,9,up,13.26248275862065,clean,9,16.900000000000006,19.09902113360063,1.9118133166592048,True,19.706893348783993
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,10,down,7.130689655172432,clean,10,-6.200000000000003,-7.523134343640213,0.8952951692751584,True,-7.899327998806044
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,11,down,5.835275862068784,clean,11,-3.8500000000000014,-3.929550021813149,0.7989760441172561,True,-3.6482966372568484
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,12,down,8.517517241379323,clean,12,-11.549999999999995,-11.183009669679361,1.1903438309150491,True,-11.371254253088452
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,13,down,12.617103448275998,clean,17,-20.1042,-21.470001735170825,1.9054382391241098,True,-21.952464039581912
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,14,up,21.903103448275942,clean,13,24.6,44.58270011198577,3.8707290146245175,True,45.081593784557924
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,15,down,21.864103448275728,clean,14,-43.85,-44.472604028656,3.8642239571868733,True,-45.32786638899117
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,16,down,10.053482758620476,clean,15,-14.55,-13.326965464184596,1.3669197410246738,True,-13.478388895775637
UriyaCohenEliya_beitMansour1_GooglePixel10_15-04-2026_exp5,train,17,up,10.073482758620685,clean,16,12.9993,13.340417154329382,1.3786379362067365,True,13.141938196040854
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,0,down,6.861206896551735,fp,-1,,-5.791486938155432,4.259605806364965,False,-2.0284174030659727
