time_s,ax_ms2,ay_ms2,az_ms2
50.932,0.07298109,0.48095736,10.095917
50.952,0.0849452,0.485743,10.095917
50.971,0.07776674,0.4761717,10.093524
50.991,0.07776674,0.485743,10.093524
51.011,0.06819545,0.4881358,10.091131
51.031,0.0634098,0.50009996,10.088738
51.051,0.07776674,0.47856453,10.091131
51.071,0.07298109,0.4881358,10.091131
51.091,0.06819545,0.4977071,10.079167
51.11,0.07537391,0.485743,10.086346
51.13,0.07058827,0.49052864,10.100702
51.15,0.07776674,0.47856453,10.0983095
51.17,0.08733802,0.485743,10.095917
51.19,0.06819545,0.47856453,10.095917
51.21,0.08973085,0.485743,10.093524
51.23,0.07058827,0.4833502,10.0983095
51.249,0.06580263,0.485743,10.0983095
51.269,0.06580263,0.485743,10.086346
51.289,0.07058827,0.485743,10.08156
51.309,0.06580263,0.4881358,10.083953
51.329,0.07776674,0.48095736,10.088738
51.349,0.08255238,0.4977071,10.0983095
51.368,0.07058827,0.49292147,10.093524
51.388,0.06580263,0.4977071,10.091131
51.408,0.07537391,0.49052864,10.091131
51.428,0.07776674,0.49292147,10.091131
51.448,0.0849452,0.47856453,10.100702
51.468,0.08015956,0.47856453,10.091131
51.488,0.07298109,0.485743,10.093524
51.507,0.07776674,0.4833502,10.091131
51.527,0.058624156,0.4953143,10.103095
51.547,0.0849452,0.4881358,10.105488
51.567,0.07537391,0.4833502,10.091131
51.587,0.061016977,0.4833502,10.100702
51.607,0.06819545,0.50009996,10.095917
51.627,0.07058827,0.49052864,10.091131
51.646,0.08015956,0.4881358,10.088738
51.666,0.0634098,0.4953143,10.091131
51.686,0.07298109,0.4881358,10.103095
51.706,0.07298109,0.4977071,10.0983095
51.726,0.07776674,0.49052864,10.086346
51.746,0.07776674,0.4833502,10.100702
51.766,0.07058827,0.49292147,10.083953
51.785,0.07776674,0.485743,10.093524
51.805,0.08733802,0.4833502,10.093524
51.825,0.06580263,0.49292147,10.095917
51.845,0.07776674,0.4953143,10.091131
51.865,0.0849452,0.48095736,10.0983095
51.885,0.07058827,0.49052864,10.093524
51.904,0.07537391,0.4833502,10.095917
51.924,0.06819545,0.485743,10.093524
51.944,0.07058827,0.48095736,10.095917
51.964,0.06819545,0.4977071,10.103095
51.984,0.07058827,0.485743,10.086346
52.004,0.07537391,0.4833502,10.091131
52.024,0.07298109,0.48095736,10.079167
52.043,0.08255238,0.49052864,10.095917
52.063,0.07776674,0.4833502,10.105488
52.083,0.06819545,0.485743,10.088738
52.103,0.07537391,0.49052864,10.0983095
52.123,0.0634098,0.48095736,10.091131
52.143,0.0849452,0.4881358,10.086346
52.163,0.08255238,0.50009996,10.093524
52.182,0.07058827,0.4953143,10.095917
52.202,0.08255238,0.4953143,10.093524
52.222,0.07298109,0.49292147,10.095917
52.242,0.08015956,0.48095736,10.093524
52.262,0.06580263,0.49292147,10.086346
52.282,0.07537391,0.485743,10.086346
52.301,0.0849452,0.485743,10.091131
