r2_peak_thresh,min_peak_abs_a,nms_radius_s,same_sign_min_gap_s,min_ride_s,max_ride_s,joint_r2_thresh,min_pair_abs_a,n_gt,n_pred,clean,missed,gt_merged,gt_split,fp,pred_merged,pred_split_part,f1_like,recall,precision,miss_rate,merge_rate,fp_rate,iou_f1@0.5,iou_precision@0.5,iou_recall@0.5,iou_mean@0.5,iou_tp@0.5,iou_fp@0.5,iou_fn@0.5
0.85,0.7,0.5,5.0,10.0,120.0,0.85,0.5,415,120,16,221,151,27,24,79,1,0.059813084112149535,0.03855421686746988,0.13333333333333333,0.5325301204819277,0.6583333333333333,0.2,0.0411214953271028,0.09166666666666666,0.02650602409638554,0.6342226111283605,11,109,404
0.85,0.5,0.5,15.0,10.0,120.0,0.75,0.7,415,154,17,171,182,45,22,111,4,0.05975395430579965,0.04096385542168675,0.11038961038961038,0.41204819277108434,0.7207792207792207,0.14285714285714285,0.0562390158172232,0.1038961038961039,0.03855421686746988,0.6050465061623249,16,138,399
0.75,0.3,0.5,15.0,10.0,120.0,0.75,0.7,415,160,16,170,183,46,27,112,5,0.05565217391304348,0.03855421686746988,0.1,0.40963855421686746,0.7,0.16875,0.05565217391304349,0.1,0.03855421686746988,0.6050465061623249,16,144,399
0.75,0.7,0.5,25.0,10.0,120.0,0.75,0.3,415,105,14,226,169,6,25,66,0,0.05384615384615385,0.033734939759036145,0.13333333333333333,0.5445783132530121,0.6285714285714286,0.23809523809523808,0.03076923076923077,0.0761904761904762,0.01927710843373494,0.6163941242698607,8,97,407
0.75,0.7,0.5,25.0,10.0,120.0,0.75,0.5,415,105,14,226,169,6,25,66,0,0.05384615384615385,0.033734939759036145,0.13333333333333333,0.5445783132530121,0.6285714285714286,0.23809523809523808,0.03076923076923077,0.0761904761904762,0.01927710843373494,0.6163941242698607,8,97,407
0.75,0.7,0.5,25.0,10.0,120.0,0.75,0.7,415,105,14,226,169,6,25,66,0,0.05384615384615385,0.033734939759036145,0.13333333333333333,0.5445783132530121,0.6285714285714286,0.23809523809523808,0.03076923076923077,0.0761904761904762,0.01927710843373494,0.6163941242698607,8,97,407
0.75,0.7,0.5,15.0,10.0,120.0,0.85,0.3,415,115,14,223,150,28,19,81,1,0.052830188679245285,0.033734939759036145,0.12173913043478261,0.5373493975903615,0.7043478260869566,0.16521739130434782,0.03773584905660378,0.08695652173913043,0.024096385542168676,0.6363755160953704,10,105,405
0.75,0.7,0.5,15.0,10.0,120.0,0.85,0.5,415,115,14,223,150,28,19,81,1,0.052830188679245285,0.033734939759036145,0.12173913043478261,0.5373493975903615,0.7043478260869566,0.16521739130434782,0.03773584905660378,0.08695652173913043,0.024096385542168676,0.6363755160953704,10,105,405
0.75,0.7,0.5,15.0,10.0,120.0,0.85,0.7,415,115,14,223,150,28,19,81,1,0.052830188679245285,0.033734939759036145,0.12173913043478261,0.5373493975903615,0.7043478260869566,0.16521739130434782,0.03773584905660378,0.08695652173913043,0.024096385542168676,0.6363755160953704,10,105,405
0.75,0.5,0.5,15.0,10.0,120.0,0.85,0.7,415,138,14,185,175,41,18,105,1,0.05063291139240506,0.033734939759036145,0.10144927536231885,0.4457831325301205,0.7608695652173914,0.13043478260869565,0.05424954792043399,0.10869565217391304,0.03614457831325301,0.6114391935471294,15,123,400
0.85,0.7,0.5,15.0,10.0,120.0,0.85,0.3,415,113,13,224,150,28,18,81,1,0.04924242424242424,0.03132530120481928,0.11504424778761062,0.5397590361445783,0.7168141592920354,0.1592920353982301,0.03787878787878789,0.08849557522123894,0.024096385542168676,0.6363755160953704,10,103,405
0.85,0.7,0.5,15.0,10.0,120.0,0.85,0.5,415,113,13,224,150,28,18,81,1,0.04924242424242424,0.03132530120481928,0.11504424778761062,0.5397590361445783,0.7168141592920354,0.1592920353982301,0.03787878787878789,0.08849557522123894,0.024096385542168676,0.6363755160953704,10,103,405
0.85,0.7,0.5,15.0,10.0,120.0,0.85,0.7,415,113,13,224,150,28,18,81,1,0.04924242424242424,0.03132530120481928,0.11504424778761062,0.5397590361445783,0.7168141592920354,0.1592920353982301,0.03787878787878789,0.08849557522123894,0.024096385542168676,0.6363755160953704,10,103,405
0.85,0.5,0.5,15.0,10.0,120.0,0.85,0.7,415,137,13,184,177,41,17,106,1,0.04710144927536232,0.03132530120481928,0.0948905109489051,0.4433734939759036,0.7737226277372263,0.12408759124087591,0.05434782608695653,0.10948905109489052,0.03614457831325301,0.6114391935471294,15,122,400
0.75,0.5,0.5,25.0,10.0,120.0,0.85,0.7,415,101,12,210,186,7,15,74,0,0.046511627906976744,0.02891566265060241,0.1188118811881188,0.5060240963855421,0.7326732673267327,0.1485148514851485,0.03488372093023256,0.0891089108910891,0.021686746987951807,0.6079310883109704,9,92,406
0.85,0.5,0.5,25.0,10.0,120.0,0.85,0.7,415,101,12,210,186,7,15,74,0,0.046511627906976744,0.02891566265060241,0.1188118811881188,0.5060240963855421,0.7326732673267327,0.1485148514851485,0.03488372093023256,0.0891089108910891,0.021686746987951807,0.6079310883109704,9,92,406
0.85,0.3,0.5,15.0,10.0,120.0,0.75,0.7,415,151,13,174,183,45,22,112,4,0.045936395759717315,0.03132530120481928,0.08609271523178808,0.41927710843373495,0.7417218543046358,0.1456953642384106,0.05653710247349823,0.10596026490066225,0.03855421686746988,0.6050465061623249,16,135,399
0.85,0.5,0.5,25.0,10.0,120.0,0.75,0.7,415,115,12,188,207,8,20,82,1,0.045283018867924525,0.02891566265060241,0.10434782608695652,0.4530120481927711,0.7130434782608696,0.17391304347826086,0.03773584905660378,0.08695652173913043,0.024096385542168676,0.6027802907848774,10,105,405
