exp,gt_idx,status,type,t_start_s,t_end_s,pred_idxs,pos_r2,pos_A,neg_r2,neg_A,pair_joint_r2,pair_A_abs,pair_heatmap_energy,pair_gap_s,pair_W,pair_frac_flat,pair_reject_flags
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,7,clean,up,862.696,876.084,8,0.9603301165793592,0.7773860695286636,0.946751821609781,-0.7793181034792804,0.9499248765862187,0.7614382034357318,0.6777613444412476,2.4400000000000546,0.6689655172413793,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,8,clean,up,877.924,892.936,9,0.9443394760071246,0.58813328751311,0.9503830704469448,-0.6196478053662241,0.9467150606360248,0.6038905464396671,0.7228249288471243,5.13900000000001,0.48965517241379314,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,9,clean,up,915.677,928.998,11,0.9494874989826986,0.7354005296359521,0.9990798779126728,-0.7743970765294862,0.9725457444521522,0.7543248956514973,0.6405480094238059,2.4010000000000673,1.296551724137931,0.2642857142857143,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,10,clean,up,930.266,949.175,12,0.9439055972909484,0.577859512785144,0.948470314711384,-0.5866575045098098,0.9461339413754761,0.582258508647477,0.7094070820955906,5.796999999999912,0.48965517241379314,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,11,clean,down,954.996,987.536,13,0.9504272332380006,0.6021524699098111,0.9738559802412071,-1.2178192323611416,,,,,,,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,12,clean,up,1088.153,1104.29,14,0.973143599491292,0.9363063730018223,0.9991659283305279,-0.9442882498710957,0.9853661429697081,0.9396036951930323,0.7205640591688788,2.9179999999998927,1.296551724137931,0.31785714285714284,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,13,clean,up,1112.841,1142.636,15,0.9509356235022063,0.7457286407024882,0.9526812493738356,-0.7648562078031756,0.9516557580419195,0.7552924242528319,0.6312491902333023,20.904999999999973,0.48965517241379314,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,14,clean,down,1158.436,1191.376,16,0.9477839661165453,0.7469725568924458,0.9982141642060681,-0.7469664403811485,0.9572250982280024,0.7242963644311294,0.6368577521680941,24.236000000000104,0.6689655172413793,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,15,clean,up,1205.105,1217.379,17,0.9491096662131768,0.9404076178620978,0.99924307528396,-0.9454525172306246,0.9722086450132894,0.9334700115785712,0.7134635284294583,2.839000000000169,1.386206896551724,0.2642857142857143,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,16,clean,down,1226.966,1239.04,18,0.9970764295569878,0.9524906740334302,0.9805353256218885,-0.9706800183679906,0.9885644508727509,0.9439391022230692,0.7216170677122878,2.8990000000001146,1.296551724137931,0.31785714285714284,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,17,clean,up,1258.342,1270.455,19,0.9505853762845214,0.9417650407463193,0.9991291650618209,-0.9461822946151603,0.969245637250211,0.9339487688139076,0.7121912602832088,2.838999999999942,1.386206896551724,0.2642857142857143,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,18,clean,up,1281.237,1298.912,20,0.968865633509378,0.7480761970990824,0.9536374048221792,-0.7676511418581814,0.9545679620928116,0.7278441968236185,0.6418259618384197,7.2280000000000655,0.6689655172413793,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,19,clean,up,1300.603,1314.136,21,0.9486070808270952,0.727619980449386,0.9540569101700389,-0.775463311989438,0.9503653884286651,0.7515416462194119,0.6618334473363695,5.816000000000031,0.48965517241379314,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,20,clean,up,1349.929,1362.25,24,0.9454608261505328,0.9331559197038086,0.9985055825535,-0.9533520806612029,0.9545985115285633,0.9127920137316634,0.6276620205549499,2.643000000000029,0.6689655172413793,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,21,clean,down,1366.257,1377.743,25,0.9976322865307536,0.9520478667036881,0.9692583118864881,-0.9572467523898297,0.9831488516760938,0.9381174994779691,0.6302404314400681,2.5039999999999054,1.206896551724138,0.31785714285714284,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,22,clean,down,1453.865,1466.02,30,0.9980926007528589,0.9491512047270606,0.9473409270510625,-0.9496505831386062,0.9573433318326565,0.9278258691528491,0.7131177383297209,3.257000000000062,1.206896551724138,0.3714285714285714,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,23,clean,down,1478.236,1499.949,31,0.9530274779345745,0.7565502863714476,0.9507632568953488,-0.7546519680375953,0.9518938653707385,0.7556011272045214,0.6183455725872358,13.406999999999925,0.48965517241379314,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,24,clean,up,895.051,911.543,10,0.9460332048133989,0.5777846855875213,0.9516367882975276,-0.6004462329489572,0.9484836451672729,0.5891154592682393,0.6611782506130254,7.657000000000039,0.48965517241379314,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,25,clean,up,1316.462,1329.148,22,0.9894039688222723,0.9270291561753979,0.9977801979192947,-0.9524021743315442,0.993409440224555,0.9268681207872274,0.6155466228383076,2.40300000000002,1.1172413793103448,0.3714285714285714,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,26,clean,up,1330.417,1347.967,23,0.954186466093152,0.887536689995717,0.9470247678516245,-0.8967095928857364,0.949859407694976,0.8471035071500634,0.7225204814762941,3.7749999999998636,0.6689655172413793,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,27,clean,down,1380.28,1393.601,26,0.9692270723461653,0.9319617254169033,0.998985200598887,-0.9348463969770356,0.9841037867415259,0.9334040611969695,0.6103490502118907,2.4039999999999964,1.206896551724138,0.2642857142857143,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,28,clean,down,1394.87,1409.248,27,0.9478129218957134,0.8872674642480385,0.9962054527893954,-0.8930502348380341,0.9613182408353809,0.8614182983711356,0.7494654774531442,3.4559999999999036,1.296551724137931,0.31785714285714284,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,29,clean,down,1411.363,1430.815,28,0.9477031960627523,0.7616368871512316,0.9948956518475524,-0.7531182177633567,0.9554334162932935,0.7315427008137244,0.6322725843073246,9.9699999999998,0.6689655172413793,0.8,
eyalyakir_milleniumHotel_Xiaomi22101320I_15-04-2026_exp2,30,clean,down,1432.084,1450.48,29,0.9474857225600224,0.9448461043841708,0.9768312282046092,-0.9542453753826879,0.9505828724115591,0.9074922168303379,0.7098278026182437,3.2770000000000437,0.6689655172413793,0.8,
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,0,clean,up,44.582,60.917,0,0.9521029038359263,0.5782394525436126,0.9601574504623365,-0.6292125609642184,0.9544176876434209,0.6037260067539155,0.6427351882353087,8.317,0.5793103448275863,0.8,
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,1,clean,down,69.947,80.786,1,0.9936132587455925,0.7628670715550269,0.9853108772762177,-0.8201145246578001,0.988234957378644,0.7855310589119422,0.6531874465165355,2.6700000000000017,1.206896551724138,0.2642857142857143,
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,2,clean,up,92.364,103.403,2,0.9772560091358321,0.7621438010476199,0.9976637324789802,-0.7955314867738277,0.987005778107676,0.7788376439107239,0.6489247937762289,2.6500000000000057,1.206896551724138,0.2642857142857143,
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,3,clean,up,112.791,123.989,3,0.9510823557196423,0.7579533767810065,0.9794169105975177,-0.7960773939697005,0.9568769943066266,0.7223580411190781,0.6874497532785502,3.1310000000000002,0.8482758620689655,0.8,
eyalyakir_milleniumOutside_SamsungSM-S911B_15-04-2026_exp3,4,clean,up,133.059,145.731,4,0.9699089960095381,0.6863692296395709,0.9556213106510176,-0.7313484238506536,0.9568971447990418,0.6979500555132554,0.7679890337180288,3.380000000000024,1.475862068965517,0.2642857142857143,
